"","tconst","url"
"1","tt0000574","https://ia.media-imdb.com/images/M/MV5BNTY4ZDk5MzYtNjk2Zi00ZWY3LTgwZjUtNDc5MWEzMWFlOTQzXkEyXkFqcGdeQXVyNjU1MTEwMjI@._V1_UY268_CR1,0,182,268_AL_.jpg"
"2","tt0002101","https://ia.media-imdb.com/images/M/MV5BODc2YTZlMDUtOGQ5Zi00OWJhLWJjNjctNTZjYjVkZDliYjE4XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
"3","tt0002130","https://ia.media-imdb.com/images/M/MV5BNjU1NDMyNGEtODJkYy00M2Y4LTk5YzItYTYxMzkzZWI1MmJiXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY268_CR5,0,182,268_AL_.jpg"
"4","tt0002461","https://ia.media-imdb.com/images/M/MV5BMTQ1ODY2NTU4OF5BMl5BanBnXkFtZTgwNTc3NjU4MDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
"5","tt0002544","https://ia.media-imdb.com/images/M/MV5BYjM0ZWUxNGItM2FkNC00YmZjLTkyMmItMDcwZTI0ZWEwODVmL2ltYWdlXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_UY268_CR98,0,182,268_AL_.jpg"
"6","tt0002844","https://ia.media-imdb.com/images/M/MV5BMTQxNDAxNDk0Ml5BMl5BanBnXkFtZTgwMDQ0ODEwMzE@._V1_UX182_CR0,0,182,268_AL_.jpg"
"7","tt0003014","https://ia.media-imdb.com/images/M/MV5BMTQyNDA4OTk1OV5BMl5BanBnXkFtZTgwNTI5NzgwMzE@._V1_UX182_CR0,0,182,268_AL_.jpg"
"8","tt0003037","https://ia.media-imdb.com/images/M/MV5BMTFkM2M4MTAtMTE2NC00MjZlLThlZDctMWU3YTIwY2ViMzU4XkEyXkFqcGdeQXVyMDI3OTIzOA@@._V1_UY268_CR1,0,182,268_AL_.jpg"
"9","tt0003165","https://ia.media-imdb.com/images/M/MV5BMjQwMTEwMjg3Ml5BMl5BanBnXkFtZTgwMTg0NDIwMjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
"10","tt0003419","https://ia.media-imdb.com/images/M/MV5BYjM1NzQ3YjMtYmQyMy00ZDZjLWJhYjItNmU2ZjNjYzNiMDdhXkEyXkFqcGdeQXVyNzgzODI1OTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
"11","tt0003471","https://ia.media-imdb.com/images/M/MV5BMTU2NDg2ODkxMV5BMl5BanBnXkFtZTcwOTQzNzAzMg@@._V1_UY268_CR3,0,182,268_AL_.jpg"
"12","tt0003489","https://ia.media-imdb.com/images/M/MV5BOTMzMzUzNjM4NV5BMl5BanBnXkFtZTgwODc4NjU4MDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
"13","tt0003643","https://ia.media-imdb.com/images/M/MV5BNDdhMjhhODAtZjAyZS00NGE3LWFjMzUtYmU3ZThkNDExYmU3XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY268_CR1,0,182,268_AL_.jpg"
"14","tt0003740","https://ia.media-imdb.com/images/M/MV5BMjIzMjk2NjMzNF5BMl5BanBnXkFtZTgwMTg4NzYwMjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
"15","tt0003772","https://ia.media-imdb.com/images/M/MV5BNDRhMGQ1NWMtNmZkNS00MGYxLTg0ZWUtMGRlYmZiMzQ3YTc1XkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_UX182_CR0,0,182,268_AL_.jpg"
"16","tt0003930","https://ia.media-imdb.com/images/M/MV5BMTA3MTk5MjI1ODBeQTJeQWpwZ15BbWU3MDc1MzAzMzQ@._V1_UY268_CR0,0,182,268_AL_.jpg"
"17","tt0003952","https://ia.media-imdb.com/images/M/MV5BYTJmNGUxOTktNzg5ZC00ZmM3LWFlYzgtMzMzMTM2NGFlYmM1XkEyXkFqcGdeQXVyODQ0OTczOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
"18","tt0004066","https://ia.media-imdb.com/images/M/MV5BZjMxZjMyNzgtY2MxMS00Y2FkLWI3MTEtYmI2YzY4ZGM3NWE0XkEyXkFqcGdeQXVyNDEzMTI3MTU@._V1_UX182_CR0,0,182,268_AL_.jpg"
"19","tt0004134","https://ia.media-imdb.com/images/M/MV5BMjA5NTYzNDQ4NV5BMl5BanBnXkFtZTgwMzA5NzgwMzE@._V1._CR1,92,425,407_UY268_CR49,0,182,268_AL_.jpg"
"20","tt0004150","https://ia.media-imdb.com/images/M/MV5BMjE3MjAyNzM5NV5BMl5BanBnXkFtZTgwMjA5OTg5NjE@._V1_UY268_CR9,0,182,268_AL_.jpg"
"21","tt0004181","https://ia.media-imdb.com/images/M/MV5BMjA3NjgzMjY1N15BMl5BanBnXkFtZTcwNjAzMjM5OA@@._V1._CR221.88333129882812,0.5333404541015625,1055,1410.0999603271484_UY268_CR9,0,182,268_AL_.jpg"
"22","tt0004465","https://ia.media-imdb.com/images/M/MV5BMzgxODk1Mzk2Ml5BMl5BanBnXkFtZTgwMDg0NzkwMjE@._V1_UY268_CR1,0,182,268_AL_.jpg"
"23","tt0004635","https://ia.media-imdb.com/images/M/MV5BMjMwODQwODI3Nl5BMl5BanBnXkFtZTgwMDA1ODI3MzE@._V1_UY268_CR4,0,182,268_AL_.jpg"
"24","tt0004707","https://ia.media-imdb.com/images/M/MV5BMTc5MTQwODc0NF5BMl5BanBnXkFtZTgwMTM0NzkxMjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
"25","tt0004712","https://ia.media-imdb.com/images/M/MV5BNWFmZGM4ZjMtODJjZC00NGQ2LWEwMjYtNzM4Y2ViNjBmMzYxXkEyXkFqcGdeQXVyMDI3OTIzOA@@._V1_UY268_CR10,0,182,268_AL_.jpg"
"26","tt0004873","https://ia.media-imdb.com/images/M/MV5BNWExMjZhOWItZTU2MS00M2MwLWE5OTAtMTdmZGQ2NmE2NWIyXkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_UX182_CR0,0,182,268_AL_.jpg"
"27","tt0004972","https://ia.media-imdb.com/images/M/MV5BYTM4ZDhiYTQtYzExNC00YjVlLTg2YWYtYTk3NTAzMzcwNTExXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg"
"28","tt0005059","https://ia.media-imdb.com/images/M/MV5BMjVjMGM0OTYtMzg2YS00NTIyLWI1ZDctNjQzMThiZTE1MzViXkEyXkFqcGdeQXVyMTg2NjYzOA@@._V1_UY268_CR8,0,182,268_AL_.jpg"
"29","tt0005060","https://ia.media-imdb.com/images/M/MV5BMTg5MzkwMTkzNl5BMl5BanBnXkFtZTgwNTgwMTYxMjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
"30","tt0005078","https://ia.media-imdb.com/images/M/MV5BMjEzMjcxNTM5M15BMl5BanBnXkFtZTgwMzgwNjQ1MjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
"31","tt0005084","https://ia.media-imdb.com/images/M/MV5BNWY5OTFiM2MtYTgxMy00NDk2LThlNTEtNjhjZjVjNjNjYjcxXkEyXkFqcGdeQXVyNjc5OTQ1MjQ@._V1_UY268_CR87,0,182,268_AL_.jpg"
"32","tt0005149","https://ia.media-imdb.com/images/M/MV5BMjE5MzQ5NTMyNF5BMl5BanBnXkFtZTgwNjkwOTMyMjE@._V1_UY268_CR1,0,182,268_AL_.jpg"
"33","tt0005339","https://ia.media-imdb.com/images/M/MV5BMTU0ODk2MzQ0MF5BMl5BanBnXkFtZTgwNDU0MTgxMjE@._V1_UY268_CR3,0,182,268_AL_.jpg"
"34","tt0005529","https://ia.media-imdb.com/images/M/MV5BOWRmYmUwNTQtOTY1Ni00MGYzLWI0MTAtNDc4YThhN2U1N2E4XkEyXkFqcGdeQXVyNjU1ODUzOTY@._V1_UX182_CR0,0,182,268_AL_.jpg"
